logFC	logCPM	F	PValue	FDR
Zm00001eb042190	4.82297097761893	4.16762283144944	3083.82242093002	2.67472784867786e-11	5.62230835783105e-09
Zm00001eb360510	4.11220098127304	6.27215799991178	3082.88213743529	2.67786066662885e-11	5.62230835783105e-09
Zm00001eb043620	3.27627080980176	6.06216106638357	3070.9137072661	2.71814373292284e-11	5.65632925864708e-09
Zm00001eb077700	3.22846823051951	6.99885551387408	3066.18363009767	2.73427446924008e-11	5.65632925864708e-09
Zm00001eb415230	3.46398649979773	4.53718240279481	3056.07776831673	2.76914409211667e-11	5.67013030405107e-09
Zm00001eb257130	4.06220280466471	6.60381573062869	3052.60555697762	2.78125393459532e-11	5.67013030405107e-09
Zm00001eb125030	3.87103776101553	4.28041272967531	3041.14062718234	2.82171640482946e-11	5.7112352038469e-09
Zm00001eb071890	3.91731238449795	6.86157527059996	3004.26635583099	2.95698609219959e-11	5.76064494149653e-09
Zm00001eb189430	5.44247773880302	3.90515588970882	3002.20504155467	2.96478647839942e-11	5.76064494149653e-09
Zm00001eb010530	5.85277211811049	4.42734739982128	3001.45820583229	2.96761903704346e-11	5.76064494149653e-09
Zm00001eb201290	3.3120882956535	8.55549281081492	3000.28808435345	2.97206387095949e-11	5.76064494149653e-09
Zm00001eb018720	3.57301493645024	7.86109509301987	2998.13330104511	2.98027101799719e-11	5.76064494149653e-09
Zm00001eb284190	4.6401968387325	4.9245940504394	2995.86580477419	2.98893832500479e-11	5.76064494149653e-09
Zm00001eb344870	4.71913773736933	3.56352802515348	2995.73006908436	2.98945816968257e-11	5.76064494149653e-09
Zm00001eb323230	4.33972995898019	4.97991816882459	2972.1289059373	3.08160531999204e-11	5.8155499373076e-09
Zm00001eb102540	3.87955849638831	4.33874129603132	2968.54051424194	3.09592744909453e-11	5.8155499373076e-09
Zm00001eb021720	4.6030471659108	4.76670919562869	2967.30457320772	3.1008797961445e-11	5.8155499373076e-09
Zm00001eb312330	2.81677663567366	5.31186060797505	2962.34528963391	3.12085203331933e-11	5.8155499373076e-09
Zm00001eb064350	3.89284582631432	7.29388647924518	2959.51272045368	3.13233221880057e-11	5.8155499373076e-09
Zm00001eb404920	4.57254025505242	4.84276339017523	2957.14329288533	3.14197622261589e-11	5.8155499373076e-09
Zm00001eb350150	4.63529640178076	5.51469121966239	2945.16878435329	3.19129103855656e-11	5.86822105089871e-09
Zm00001eb266420	4.03918518418115	6.37046399273324	2894.38341952453	3.41161155348714e-11	6.23261554842904e-09
Zm00001eb006720	3.45554070018945	7.08906999753764	2864.71348989322	3.54922726324052e-11	6.36250269626188e-09
Zm00001eb290550	3.59051767256717	8.1133806949473	2859.20900284818	3.57552277335659e-11	6.36250269626188e-09
Zm00001eb337680	5.81239847104932	4.35975360878195	2854.68355691768	3.59732538731275e-11	6.36250269626188e-09
Zm00001eb337690	5.81239847104932	4.35975360878195	2854.68355691768	3.59732538731275e-11	6.36250269626188e-09
Zm00001eb081260	3.69306292392501	5.65256644107176	2848.7906380945	3.62596789626613e-11	6.36250269626188e-09
Zm00001eb159290	2.60900942991962	5.27475980320064	2848.44054233809	3.62767856211894e-11	6.36250269626188e-09
Zm00001eb239750	3.94992776267591	7.05429569921622	2845.71845422534	3.64101419669497e-11	6.36250269626188e-09
Zm00001eb067880	4.80883351439184	3.53132742159512	2826.99759508007	3.73442176080439e-11	6.47018318768004e-09
Zm00001eb214000	3.9076986128634	8.20721914966085	2824.20146499163	3.74863104994614e-11	6.47018318768004e-09
Zm00001eb090980	3.81166475301315	6.76745052681746	2808.99949130559	3.82708737476481e-11	6.55068422919264e-09
Zm00001eb209190	3.06398509826554	6.84360738757159	2806.18506209225	3.84183869274467e-11	6.55068422919264e-09
Zm00001eb341770	3.05213043375478	7.46866045506646	2800.07704241588	3.8741000194347e-11	6.56589939438408e-09
Zm00001eb368000	3.70833461513958	9.3455563300374	2790.94706753732	3.92296185477072e-11	6.60889873186344e-09
Zm00001eb428800	3.13998454957852	5.42427312454426	2784.10325565696	3.96009860951889e-11	6.63175085001217e-09
Zm00001eb118760	3.3453960930593	7.19835359444255	2766.46629843742	4.05786468772714e-11	6.7552642085512e-09
Zm00001eb293450	5.0164192502827	6.48042359068602	2762.18974709786	4.0820273840752e-11	6.75551520138658e-09
Zm00001eb418140	6.29593065957417	7.95135013434095	2724.86283532885	4.30081766479035e-11	7.07597685270243e-09
Zm00001eb075400	-3.80827078235497	6.44336417631867	2707.19117321414	4.4095511800364e-11	7.13703878505993e-09
Zm00001eb292480	5.93288847135911	3.60546186786982	2707.10045230753	4.41011826617954e-11	7.13703878505993e-09
Zm00001eb099240	3.37373591145537	6.92659211638249	2706.47418441691	4.41403550366257e-11	7.13703878505993e-09
Zm00001eb428490	3.67795749170175	6.96094821645791	2699.87250457902	4.45559617522289e-11	7.16307101678405e-09
Zm00001eb346880	3.70337740017481	5.05511763989005	2689.5936728084	4.52129272073971e-11	7.19490487887851e-09
Zm00001eb232440	3.61438514259076	5.75333432296246	2684.99212966285	4.55109858030597e-11	7.19490487887851e-09
Zm00001eb102510	-3.0373739720033	6.20982191918727	2672.81038547491	4.63120801041373e-11	7.19490487887851e-09
Zm00001eb359740	2.87421782966646	5.48362888303144	2669.57303651651	4.65279565051814e-11	7.19490487887851e-09
Zm00001eb293780	5.36108746068853	7.44672017932757	2668.9243740227	4.6571363683166e-11	7.19490487887851e-09
Zm00001eb395370	6.15272047311777	5.41550860556821	2665.46110227659	4.68039842058314e-11	7.19490487887851e-09
