logFC	logCPM	F	PValue	FDR
Zm00001eb241920	-1.27752372250727	7.50856026874177	862.453534042605	6.25407788546948e-23	1.22988657629606e-20
Zm00001eb091740	-1.71111071881978	6.48508957638622	859.446042097547	6.56466830547659e-23	1.27530505251183e-20
Zm00001eb077490	-2.41317691413161	6.45105033582893	859.234181514208	6.58716123219323e-23	1.27530505251183e-20
Zm00001eb136750	-1.75923541203944	7.18280497578046	857.679009587441	6.75481709828669e-23	1.29770428484392e-20
Zm00001eb054680	1.54430272123764	6.22905471525808	856.975386886652	6.8321661449653e-23	1.30254465244663e-20
Zm00001eb069320	2.06210462239917	5.0335025804483	852.225860946207	7.37971741121388e-23	1.39627607837172e-20
Zm00001eb395330	6.57320662473613	4.21836497208728	851.204457045817	7.50349551409057e-23	1.4090210561234e-20
Zm00001eb171410	-1.50536764378192	6.7355471229813	849.170333401004	7.75666511397662e-23	1.44569187478781e-20
Zm00001eb001560	-1.52433050918777	6.10546573812574	846.596126372696	8.09022975655108e-23	1.49471537913722e-20
Zm00001eb002440	-1.7245532341864	5.79195428360787	846.226358386511	8.13939105356004e-23	1.49471537913722e-20
Zm00001eb388330	-2.02271229271399	5.84148246324834	831.426764936629	1.03949352884111e-22	1.89498911553333e-20
Zm00001eb247660	-2.15086677524718	5.32785100596002	830.646298099033	1.05311204935552e-22	1.90590387193145e-20
Zm00001eb043650	-1.47811951593045	7.01719692504549	829.876935198174	1.06672379526069e-22	1.91664940911048e-20
Zm00001eb319350	2.0509415777296	5.63895810263397	822.998068399646	1.19713470783237e-22	2.13131095907222e-20
Zm00001eb225230	-1.73668809880967	5.60157674437037	822.694835968351	1.20326264356029e-22	2.13131095907222e-20
Zm00001eb077240	-1.3142153017019	8.33156055358787	821.817708266041	1.22117795388508e-22	2.14781122523098e-20
Zm00001eb129440	-2.06314688403277	5.38918220704497	810.496802759487	1.47986300060448e-22	2.58458590490187e-20
Zm00001eb242360	-1.48458398090944	6.422433449094	799.640308107235	1.78363732515107e-22	3.05751074338538e-20
Zm00001eb315880	1.66124398959824	6.01901702864626	799.584929396984	1.78534802208713e-22	3.05751074338538e-20
Zm00001eb204490	-2.48889335432625	4.39704141427067	799.519429167632	1.78737364778485e-22	3.05751074338538e-20
Zm00001eb209990	-2.99565791619397	5.69576854118603	789.198117596365	2.13947639579367e-22	3.63492673366986e-20
Zm00001eb199590	1.09227409203342	10.810823125569	785.944961927592	2.26530068599167e-22	3.82269490761095e-20
Zm00001eb030260	-1.60566983878418	5.59386240255229	785.231562501416	2.29393788515258e-22	3.8450401799789e-20
Zm00001eb270310	4.63791577800136	3.71869474433908	783.227261429371	2.37648687410435e-22	3.95685064538374e-20
Zm00001eb191480	-2.24279301223426	5.57775605421448	778.73428109909	2.57330836840415e-22	4.25618387423137e-20
Zm00001eb068520	-1.36730494233386	6.35414958735451	773.696720338377	2.81492241021217e-22	4.62517678914795e-20
Zm00001eb311900	-2.00391488235762	4.93015137386169	767.404237014052	3.15134335867322e-22	5.14410460018717e-20
Zm00001eb149460	-1.34809503878553	6.4338699095069	766.673772924191	3.19309926657514e-22	5.17841910277364e-20
Zm00001eb335070	-2.47601407828291	4.70786379125415	763.772743828506	3.36486947178348e-22	5.42178161663176e-20
Zm00001eb218000	-1.55712633937963	6.35139885308531	759.518535423305	3.63487704049906e-22	5.78430487244838e-20
Zm00001eb408260	-1.7271047982123	5.78249036314188	759.498840855619	3.63617963953712e-22	5.78430487244838e-20
Zm00001eb076600	-1.74761863200638	5.43326751567245	754.706535205979	3.96849154828344e-22	6.27297952015057e-20
Zm00001eb250070	1.63168638202227	5.40495217481578	742.119378567131	5.00611108170684e-22	7.86337259532254e-20
Zm00001eb332460	-2.51482032854722	4.84285779317104	740.940596333464	5.11719205555339e-22	7.93800444642521e-20
Zm00001eb332470	-2.51482032854722	4.84285779317104	740.940596333464	5.11719205555339e-22	7.93800444642521e-20
Zm00001eb034880	-1.79321896682262	5.45810418736021	740.120339384579	5.19604216525799e-22	7.97739179898281e-20
Zm00001eb419110	-1.3247254550883	6.61583225607868	740.012901369794	5.20646591885565e-22	7.97739179898281e-20
Zm00001eb047990	-2.47854928849464	4.19018986487656	737.940561521795	5.41196630785657e-22	8.24169869138524e-20
Zm00001eb138250	-2.66531199744355	4.61563072474873	737.305006073958	5.47671583601213e-22	8.27723449404644e-20
Zm00001eb034870	-1.79236550574022	5.45743733070302	737.021486594634	5.50586728813131e-22	8.27723449404644e-20
Zm00001eb186100	1.26045248852213	7.55419848796553	736.742378463841	5.53472736939241e-22	8.27723449404644e-20
Zm00001eb328450	1.41610120469786	6.1407965580748	732.264127102984	6.02060036651077e-22	8.9097922506598e-20
Zm00001eb002800	-1.89296360578426	5.20307452502899	732.189721419097	6.02904861005608e-22	8.9097922506598e-20
Zm00001eb280200	-1.96615623905658	4.8220416174756	719.835272838753	7.62433083959935e-22	1.12010389834702e-19
Zm00001eb273440	-1.37487839844821	6.05262357211932	719.377727451605	7.69147851919469e-22	1.12336067846133e-19
Zm00001eb053220	-1.88855272864311	4.86370716218569	718.30183345885	7.85187855162223e-22	1.14012015596956e-19
Zm00001eb033160	-2.76773280172934	4.18556928805603	716.690755244693	8.09879437947158e-22	1.16917566258556e-19
Zm00001eb257120	1.57294185570826	5.78292258447852	714.041797608151	8.52301372852313e-22	1.21687536071858e-19
Zm00001eb152920	-1.71596354072759	5.34598736886531	713.907378855511	8.54516466385656e-22	1.21687536071858e-19
Zm00001eb067750	-1.39986811995721	7.75577123586295	713.724635217928	8.57537791737614e-22	1.21687536071858e-19
Zm00001eb187150	-1.36867499691098	6.84404094444952	712.26946428027	8.82008103612982e-22	1.24102381733784e-19
Zm00001eb032280	1.47606943035867	5.72285228035631	712.124090594135	8.8449345139594e-22	1.24102381733784e-19
Zm00001eb212800	2.24353043612329	4.82112478364365	711.308069601064	8.9858414838252e-22	1.25375078803651e-19
Zm00001eb153170	-3.78085225196525	3.50178936575309	710.589554458639	9.11190056903068e-22	1.26427620395301e-19
Zm00001eb152930	-1.71430032265183	5.33126085921496	707.953875594923	9.59076165594817e-22	1.32336614562047e-19
Zm00001eb290590	-1.23641141935064	7.1319071227075	706.597655412877	9.84759450910594e-22	1.35133886189517e-19
Zm00001eb385210	-2.40242329745467	4.29289748000336	705.985249742578	9.9659708052383e-22	1.36010995005916e-19
Zm00001eb080840	-2.06698091541546	4.83776694937761	704.671757048979	1.02250306186159e-21	1.38198367157552e-19
Zm00001eb355570	-1.58878646207571	5.87284425008592	704.612351886599	1.02369160857446e-21	1.38198367157552e-19
Zm00001eb191490	-2.27154697776034	5.25015149396384	703.880769970586	1.03845050759443e-21	1.39437104447156e-19
Zm00001eb425600	-2.48378053474875	4.9436231494164	703.212693996051	1.05212720579326e-21	1.39630415409098e-19
Zm00001eb355560	-1.58987927450106	5.87257697816073	703.040643062374	1.05568051046036e-21	1.39630415409098e-19
Zm00001eb008920	-2.19041619359539	4.58594035024002	702.993199426675	1.05666260309588e-21	1.39630415409098e-19
Zm00001eb330610	-1.26033132641684	6.64273302713367	699.503122853256	1.13165883735343e-21	1.48753576120536e-19
Zm00001eb110640	-3.02914845161592	3.76515297179933	697.706877216862	1.17245935948031e-21	1.53309803680737e-19
Zm00001eb323730	-3.2399591616791	3.93301730592773	697.290336383973	1.18214381968952e-21	1.53474649380816e-19
Zm00001eb011820	-1.66222355262102	5.45177428559174	697.125052768771	1.18601030352342e-21	1.53474649380816e-19
Zm00001eb331210	-2.2019511074697	4.87285844983494	691.259116051858	1.33238332234054e-21	1.7152718286317e-19
Zm00001eb429440	-1.32646112083307	7.31818688263931	683.025612203416	1.57133527212363e-21	2.01251786775834e-19
Zm00001eb411380	-1.39577650487799	8.79572071016983	682.161814292505	1.59894237734442e-21	2.03136631813667e-19
Zm00001eb065160	1.12513059040531	8.15033688910967	682.057260408187	1.60231897766937e-21	2.03136631813667e-19
Zm00001eb075630	-1.27810185243325	6.34727880954353	679.698646549186	1.68055412124896e-21	2.11978985748448e-19
Zm00001eb189500	-1.452130058743	5.62654313649248	679.050166173923	1.70277340463256e-21	2.13702340606523e-19
Zm00001eb294310	1.26772471501261	6.97355652093887	678.45726401619	1.72336354786786e-21	2.15205023039998e-19
Zm00001eb378930	1.38452450258486	5.93668628407404	675.080166402909	1.84583753509908e-21	2.2935220118955e-19
Zm00001eb280690	1.36166365993407	6.97305718670021	673.721504773219	1.89770895972958e-21	2.34630105293298e-19
Zm00001eb278070	1.87599411522273	5.12692100448835	672.639159517555	1.94014685528751e-21	2.38695407442392e-19
Zm00001eb366200	1.87880773937512	5.68927433028795	666.532773375609	2.19939820359731e-21	2.69264559484524e-19
Zm00001eb084630	-2.25375082106441	4.39242450285192	664.852199738491	2.27708246467183e-21	2.77415290513069e-19
Zm00001eb356910	-2.85197823659554	4.76864475227354	664.47198729376	2.29506173655061e-21	2.78248382865784e-19
